Node ID,Letter,Prefix,Complete word?
0,ROOT,,No
1,c,c,No
2,a,ca,No
3,l,cal,No
4,f,calf,Yes
5,n,can,Yes
6,e,cane,Yes
7,r,car,Yes
8,a,cara,No
9,t,carat,Yes
10,b,carb,Yes
11,d,card,Yes
12,e,care,Yes
13,d,cared,Yes
14,s,cares,Yes
15,p,carp,Yes
16,r,carr,No
17,y,carry,Yes
18,t,cart,Yes
19,o,co,No
20,m,com,No
21,a,coma,Yes
22,e,come,Yes
23,n,con,No
24,e,cone,Yes
25,l,l,No
26,a,la,No
27,b,lab,No
28,e,labe,No
29,l,label,Yes
30,d,lad,Yes
31,l,ladl,No
32,e,ladle,Yes
33,m,lam,No
34,b,lamb,Yes
35,p,lamp,Yes
36,r,lar,No
37,d,lard,Yes
38,k,lark,Yes
39,u,lau,No
40,g,laug,No
41,h,laugh,Yes
42,u,lu,No
43,c,luc,No
44,k,luck,Yes
